BPE: kaniŋ | Linguist: kaniŋ
BPE: loʔa | Linguist: loʔa
BPE: ka | Linguist: ka
BPE: u ma | Linguist: u ma
BPE: ka | Linguist: ka
BPE: nda | Linguist: nda
BPE: nda | Linguist: nda
BPE: ceʔya | Linguist: ceʔya
BPE: babu | Linguist: babu
BPE: nna | Linguist: nna
BPE: ka | Linguist: ka
BPE: kheʔ ma | Linguist: kheʔ ma
BPE: nda | Linguist: nda
BPE: cama | Linguist: cama
BPE: uŋci ŋa | Linguist: uŋci ŋa
BPE: ka | Linguist: ka
BPE: mamu | Linguist: mamu
BPE: men | Linguist: men
BPE: kaniŋ | Linguist: kaniŋ
BPE: kaniŋ | Linguist: kaniŋ
BPE: ak ka ca | Linguist: ak ka ca
BPE: m ba | Linguist: m ba
BPE: u ppa | Linguist: u ppa
BPE: heʔne | Linguist: heʔne
BPE: nhaŋa | Linguist: nhaŋa
BPE: na | Linguist: na
BPE: babu | Linguist: babu
BPE: nna | Linguist: nna
BPE: babu | Linguist: babu
BPE: kha | Linguist: kha
BPE: ŋkha | Linguist: ŋkha
BPE: kha | Linguist: kha
BPE: kham | Linguist: kham
BPE: ŋkha | Linguist: ŋkha
BPE: kham | Linguist: kham
BPE: na | Linguist: na
BPE: kha | Linguist: kha
BPE: kha | Linguist: kha
BPE: cuwa | Linguist: cuwa
BPE: kha ci | Linguist: kha ci
BPE: ŋkha ci | Linguist: ŋkha ci
BPE: na go | Linguist: na go
BPE: ha | Linguist: ha
BPE: ka ma ha | Linguist: ka ma ha
BPE: ka | Linguist: ka
BPE: eko | Linguist: eko
BPE: so ŋ | Linguist: so ŋ
BPE: eko | Linguist: eko
BPE: eko | Linguist: eko
BPE: yapmi | Linguist: yapmi
BPE: honna | Linguist: honna
BPE: eko se | Linguist: eko se
BPE: cok saŋ | Linguist: cok saŋ
BPE: honna | Linguist: honna
BPE: yapmi | Linguist: yapmi
BPE: eko | Linguist: eko
BPE: mina | Linguist: mina
BPE: nhaŋ | Linguist: nhaŋ
BPE: honna | Linguist: honna
BPE: so saŋ | Linguist: so saŋ
BPE: ka ya | Linguist: ka ya
BPE: uŋ | Linguist: uŋ
BPE: haku | Linguist: haku
BPE: eko | Linguist: eko
BPE: paŋ | Linguist: paŋ
BPE: cok ma | Linguist: cok ma
BPE: eko | Linguist: eko
BPE: mamu | Linguist: mamu
BPE: uŋci | Linguist: uŋci
BPE: i | Linguist: i
BPE: nhaŋa | Linguist: nhaŋa
BPE: ta me | Linguist: ta me
BPE: niŋ be | Linguist: niŋ be
BPE: uŋci | Linguist: uŋci
BPE: cok ma ca | Linguist: cok ma ca
BPE: bhoŋ | Linguist: bhoŋ
BPE: ka | Linguist: ka
BPE: i na i | Linguist: i na i
BPE: i na | Linguist: i na
BPE: ikhiŋ | Linguist: ikhiŋ
BPE: mam ha | Linguist: mam ha
BPE: i ya | Linguist: i ya
BPE: i ya le | Linguist: i ya le
BPE: a yaŋ | Linguist: a yaŋ
BPE: heʔne | Linguist: heʔne
BPE: na | Linguist: na
BPE: a ppa | Linguist: a ppa
BPE: heʔne | Linguist: heʔne
BPE: uŋ saŋ | Linguist: uŋ saŋ
BPE: isa ʔlo | Linguist: isa ʔlo
BPE: nda ca | Linguist: nda ca
BPE: uŋ u | Linguist: uŋ u
BPE: ka | Linguist: ka
BPE: miyaŋ | Linguist: miyaŋ
BPE: cama | Linguist: cama
BPE: kaniŋ | Linguist: kaniŋ
BPE: cok ma | Linguist: cok ma
BPE: miyaŋ | Linguist: miyaŋ
BPE: ucun | Linguist: ucun
BPE: miyaŋ | Linguist: miyaŋ
BPE: hoŋ bhaŋ | Linguist: hoŋ bhaŋ
BPE: miyaŋ | Linguist: miyaŋ
BPE: pyak | Linguist: pyak
BPE: pyak | Linguist: pyak
BPE: pyak | Linguist: pyak
BPE: yaŋ | Linguist: yaŋ
BPE: ka | Linguist: ka
BPE: khiŋ | Linguist: khiŋ
BPE: pyak | Linguist: pyak
BPE: pyak | Linguist: pyak
BPE: eko | Linguist: eko
BPE: pyak | Linguist: pyak
BPE: yapmi | Linguist: yapmi
BPE: ta saŋ | Linguist: ta saŋ
BPE: khe saŋ | Linguist: khe saŋ
BPE: ghak | Linguist: ghak
BPE: ghak | Linguist: ghak
BPE: ceʔya | Linguist: ceʔya
BPE: ghak | Linguist: ghak
BPE: khiŋ | Linguist: khiŋ
BPE: khiŋ | Linguist: khiŋ
BPE: lak nuŋ | Linguist: lak nuŋ
BPE: ucun | Linguist: ucun
BPE: nhaŋ | Linguist: nhaŋ
BPE: wandik ŋa | Linguist: wandik ŋa
BPE: cok ni ma | Linguist: cok ni ma
BPE: sa bu | Linguist: sa bu
BPE: eko | Linguist: eko
BPE: yapmi | Linguist: yapmi
BPE: babu | Linguist: babu
BPE: sum baŋ | Linguist: sum baŋ
BPE: mamu ci | Linguist: mamu ci
BPE: sum baŋ | Linguist: sum baŋ
BPE: mamu | Linguist: mamu
BPE: yaŋ ci | Linguist: yaŋ ci
BPE: ka | Linguist: ka
BPE: i ma | Linguist: i ma
BPE: i | Linguist: i
BPE: i ya | Linguist: i ya
BPE: i na | Linguist: i na
BPE: mamu | Linguist: mamu
BPE: i ga | Linguist: i ga
BPE: na | Linguist: na
BPE: i ŋa | Linguist: i ŋa
BPE: isa ŋa | Linguist: isa ŋa
BPE: ghak | Linguist: ghak
BPE: kha | Linguist: kha
BPE: isa ci | Linguist: isa ci
BPE: ikhiŋ | Linguist: ikhiŋ
BPE: sal be | Linguist: sal be
BPE: ikhiŋ | Linguist: ikhiŋ
