BPE: kaniŋ | Linguist: kaniŋ
BPE: loʔa | Linguist: loʔa
BPE: ak ka | Linguist: ak ka
BPE: ka | Linguist: ka
BPE: u ma | Linguist: u ma
BPE: ka | Linguist: ka
BPE: nda | Linguist: nda
BPE: nda | Linguist: nda
BPE: ceʔya | Linguist: ceʔya
BPE: heko ha ci | Linguist: heko ha ci
BPE: nna | Linguist: nna
BPE: ka | Linguist: ka
BPE: kheʔ ma | Linguist: kheʔ ma
BPE: nda | Linguist: nda
BPE: uŋci ŋa | Linguist: uŋci ŋa
BPE: ka | Linguist: ka
BPE: mamu | Linguist: mamu
BPE: men | Linguist: men
BPE: kaniŋ | Linguist: kaniŋ
BPE: kaniŋ | Linguist: kaniŋ
BPE: ak ka | Linguist: ak ka
BPE: ak ka ca | Linguist: ak ka ca
BPE: m ba | Linguist: m ba
BPE: u ppa | Linguist: u ppa
BPE: heʔne | Linguist: heʔne
BPE: nhaŋa | Linguist: nhaŋa
BPE: na | Linguist: na
BPE: nna | Linguist: nna
BPE: kha | Linguist: kha
BPE: ŋkha | Linguist: ŋkha
BPE: kha | Linguist: kha
BPE: ŋkha | Linguist: ŋkha
BPE: na | Linguist: na
BPE: kha | Linguist: kha
BPE: kha | Linguist: kha
BPE: cuwa | Linguist: cuwa
BPE: kha ci | Linguist: kha ci
BPE: ŋkha ci | Linguist: ŋkha ci
BPE: na go | Linguist: na go
BPE: ha | Linguist: ha
BPE: ka ma ha | Linguist: ka ma ha
BPE: ka | Linguist: ka
BPE: eko | Linguist: eko
BPE: so ŋ | Linguist: so ŋ
BPE: eko | Linguist: eko
BPE: eko | Linguist: eko
BPE: yapmi | Linguist: yapmi
BPE: cok saŋ | Linguist: cok saŋ
BPE: yapmi | Linguist: yapmi
BPE: uŋ ŋa | Linguist: uŋ ŋa
BPE: eko | Linguist: eko
BPE: mina | Linguist: mina
BPE: nhaŋ | Linguist: nhaŋ
BPE: uŋ ŋa | Linguist: uŋ ŋa
BPE: so saŋ | Linguist: so saŋ
BPE: ka ya | Linguist: ka ya
BPE: haku | Linguist: haku
BPE: eko | Linguist: eko
BPE: paŋ | Linguist: paŋ
BPE: cok ma | Linguist: cok ma
BPE: aniŋ ga | Linguist: aniŋ ga
BPE: eko | Linguist: eko
BPE: mamu | Linguist: mamu
BPE: i | Linguist: i
BPE: nhaŋa | Linguist: nhaŋa
BPE: ta me | Linguist: ta me
BPE: eŋ ga | Linguist: eŋ ga
BPE: niŋ be | Linguist: niŋ be
BPE: cok ma ca | Linguist: cok ma ca
BPE: bhoŋ | Linguist: bhoŋ
