BPE: kaniŋ | Linguist: kaniŋ
BPE: ak ka | Linguist: ak ka
BPE: ka | Linguist: ka
BPE: u ma | Linguist: u ma
BPE: ka | Linguist: ka
BPE: nda | Linguist: nda
BPE: nda | Linguist: nda
BPE: ceʔya | Linguist: ceʔya
BPE: heko ha ci | Linguist: heko ha ci
BPE: nna | Linguist: nna
BPE: ka | Linguist: ka
BPE: kheʔ ma | Linguist: kheʔ ma
BPE: nda | Linguist: nda
BPE: uŋci ŋa | Linguist: uŋci ŋa
BPE: ka | Linguist: ka
BPE: kaniŋ | Linguist: kaniŋ
BPE: kaniŋ | Linguist: kaniŋ
BPE: ak ka | Linguist: ak ka
BPE: ak ka ca | Linguist: ak ka ca
BPE: m ba | Linguist: m ba
BPE: u ppa | Linguist: u ppa
BPE: u ma ci ca | Linguist: u ma ci ca
BPE: na | Linguist: na
BPE: nna | Linguist: nna
BPE: kha | Linguist: kha
BPE: ŋkha | Linguist: ŋkha
BPE: kha | Linguist: kha
BPE: ŋkha | Linguist: ŋkha
BPE: na | Linguist: na
BPE: kha | Linguist: kha
BPE: kha | Linguist: kha
BPE: kha ci | Linguist: kha ci
BPE: ŋkha ci | Linguist: ŋkha ci
BPE: na go | Linguist: na go
BPE: ha | Linguist: ha
BPE: ka ma ha | Linguist: ka ma ha
BPE: ka | Linguist: ka
BPE: eko | Linguist: eko
BPE: so ŋ | Linguist: so ŋ
BPE: eko | Linguist: eko
BPE: eko | Linguist: eko
BPE: yapmi | Linguist: yapmi
BPE: cok saŋ | Linguist: cok saŋ
BPE: yapmi | Linguist: yapmi
BPE: uŋ ŋa | Linguist: uŋ ŋa
BPE: eko | Linguist: eko
BPE: uŋ ŋa | Linguist: uŋ ŋa
BPE: so saŋ | Linguist: so saŋ
BPE: ka ya | Linguist: ka ya
BPE: eko | Linguist: eko
BPE: cok ma | Linguist: cok ma
BPE: aniŋ ga | Linguist: aniŋ ga
BPE: eko | Linguist: eko
BPE: i | Linguist: i
BPE: ta me | Linguist: ta me
BPE: eŋ ga | Linguist: eŋ ga
BPE: niŋ be | Linguist: niŋ be
BPE: cok ma ca | Linguist: cok ma ca
BPE: n leŋ me | Linguist: n leŋ me
BPE: bhoŋ | Linguist: bhoŋ
BPE: ka | Linguist: ka
BPE: i ha ca | Linguist: i ha ca
BPE: i na i | Linguist: i na i
BPE: i na | Linguist: i na
BPE: mam ha | Linguist: mam ha
BPE: i ya | Linguist: i ya
BPE: i ya le | Linguist: i ya le
BPE: a yaŋ | Linguist: a yaŋ
BPE: na | Linguist: na
BPE: a ppa | Linguist: a ppa
BPE: uŋ saŋ | Linguist: uŋ saŋ
BPE: isa ʔlo | Linguist: isa ʔlo
BPE: nda ca | Linguist: nda ca
BPE: uŋ u | Linguist: uŋ u
BPE: ka | Linguist: ka
BPE: kaniŋ | Linguist: kaniŋ
BPE: cok ma | Linguist: cok ma
BPE: hoŋ bhaŋ | Linguist: hoŋ bhaŋ
BPE: pyak | Linguist: pyak
BPE: pyak | Linguist: pyak
BPE: pyak | Linguist: pyak
BPE: yaŋ | Linguist: yaŋ
BPE: ka | Linguist: ka
BPE: khiŋ | Linguist: khiŋ
BPE: pyak | Linguist: pyak
BPE: pyak | Linguist: pyak
BPE: eko | Linguist: eko
BPE: pyak | Linguist: pyak
BPE: yapmi | Linguist: yapmi
BPE: ta saŋ | Linguist: ta saŋ
BPE: khe saŋ | Linguist: khe saŋ
BPE: ghak | Linguist: ghak
BPE: ghak | Linguist: ghak
BPE: ceʔya | Linguist: ceʔya
BPE: ghak | Linguist: ghak
BPE: khiŋ | Linguist: khiŋ
BPE: mi na | Linguist: mi na
BPE: khiŋ | Linguist: khiŋ
BPE: leŋ d eʔ na | Linguist: leŋ d eʔ na
BPE: sa na | Linguist: sa na
BPE: sa na | Linguist: sa na
BPE: cok ni ma | Linguist: cok ni ma
BPE: sa bu | Linguist: sa bu
BPE: eko | Linguist: eko
BPE: yapmi | Linguist: yapmi
BPE: yaŋ ci | Linguist: yaŋ ci
BPE: ka | Linguist: ka
BPE: i ma | Linguist: i ma
BPE: i | Linguist: i
BPE: i ya | Linguist: i ya
BPE: ca ma | Linguist: ca ma
BPE: i na | Linguist: i na
BPE: i ga | Linguist: i ga
BPE: na | Linguist: na
BPE: i ŋa | Linguist: i ŋa
BPE: isa ŋa | Linguist: isa ŋa
BPE: ghak | Linguist: ghak
BPE: kha | Linguist: kha
BPE: isa ci | Linguist: isa ci
BPE: mi na | Linguist: mi na
BPE: mi na | Linguist: mi na
BPE: nna | Linguist: nna
BPE: luŋkhwak | Linguist: luŋkhwak
BPE: sa ma na | Linguist: sa ma na
BPE: pyak | Linguist: pyak
BPE: kheʔ ma | Linguist: kheʔ ma
BPE: ka | Linguist: ka
BPE: aniŋ ga | Linguist: aniŋ ga
BPE: kaniŋ | Linguist: kaniŋ
BPE: u ppa | Linguist: u ppa
BPE: u ma ci ca | Linguist: u ma ci ca
BPE: yaŋ ci | Linguist: yaŋ ci
BPE: pyak | Linguist: pyak
BPE: yaŋ | Linguist: yaŋ
BPE: ka | Linguist: ka
BPE: to na | Linguist: to na
BPE: to ha | Linguist: to ha
BPE: ghak | Linguist: ghak
BPE: heko na | Linguist: heko na
BPE: kha go | Linguist: kha go
BPE: eŋ ga | Linguist: eŋ ga
BPE: yapmi | Linguist: yapmi
BPE: ŋkha | Linguist: ŋkha
BPE: ŋkha | Linguist: ŋkha
BPE: luŋkhwak | Linguist: luŋkhwak
BPE: ca m ha | Linguist: ca m ha
BPE: yapmi | Linguist: yapmi
BPE: yapmi | Linguist: yapmi
BPE: kha | Linguist: kha
BPE: ceʔya | Linguist: ceʔya
BPE: ka | Linguist: ka
BPE: ka | Linguist: ka
BPE: nda | Linguist: nda
BPE: na | Linguist: na
BPE: ak ka | Linguist: ak ka
BPE: na | Linguist: na
BPE: ak ka | Linguist: ak ka
BPE: ka go | Linguist: ka go
BPE: ka | Linguist: ka
BPE: uŋci ga | Linguist: uŋci ga
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: luŋkhwak | Linguist: luŋkhwak
BPE: ka | Linguist: ka
BPE: khaʔla | Linguist: khaʔla
BPE: nna | Linguist: nna
BPE: ka | Linguist: ka
BPE: ceʔya | Linguist: ceʔya
BPE: phu na | Linguist: phu na
BPE: ceʔya | Linguist: ceʔya
BPE: aniŋ ga | Linguist: aniŋ ga
BPE: eŋ ga | Linguist: eŋ ga
BPE: pi ci ha | Linguist: pi ci ha
BPE: isa ga | Linguist: isa ga
BPE: m ba | Linguist: m ba
BPE: heko na | Linguist: heko na
BPE: aniŋ ga | Linguist: aniŋ ga
BPE: wa ci | Linguist: wa ci
BPE: eko | Linguist: eko
BPE: luŋkhwak | Linguist: luŋkhwak
BPE: eko | Linguist: eko
BPE: eko | Linguist: eko
BPE: kheʔ m ha | Linguist: kheʔ m ha
BPE: ok saŋ | Linguist: ok saŋ
BPE: ka | Linguist: ka
BPE: uŋ ŋa | Linguist: uŋ ŋa
BPE: ka be | Linguist: ka be
BPE: ŋga be | Linguist: ŋga be
BPE: yaŋ | Linguist: yaŋ
BPE: yaŋ | Linguist: yaŋ
BPE: na | Linguist: na
BPE: kheʔ ma | Linguist: kheʔ ma
BPE: kheʔ ma hoŋ | Linguist: kheʔ ma hoŋ
BPE: nna be | Linguist: nna be
BPE: nna | Linguist: nna
BPE: i | Linguist: i
BPE: u ma | Linguist: u ma
BPE: ta meʔ ma | Linguist: ta meʔ ma
BPE: kaniŋ | Linguist: kaniŋ
BPE: ceʔya | Linguist: ceʔya
BPE: am me ŋ ci ŋ ba | Linguist: am me ŋ ci ŋ ba
BPE: am me ŋ ci ŋ | Linguist: am me ŋ ci ŋ
BPE: kaniŋ | Linguist: kaniŋ
BPE: ka nuŋ | Linguist: ka nuŋ
BPE: kheʔ ma na | Linguist: kheʔ ma na
BPE: ka nuŋ | Linguist: ka nuŋ
BPE: to khaʔla | Linguist: to khaʔla
BPE: ŋkha | Linguist: ŋkha
BPE: yo khaʔla | Linguist: yo khaʔla
BPE: nna khaʔla | Linguist: nna khaʔla
BPE: i | Linguist: i
BPE: cok ma ʔlo | Linguist: cok ma ʔlo
BPE: mi | Linguist: mi
BPE: to khaʔla | Linguist: to khaʔla
BPE: u ma | Linguist: u ma
BPE: nda | Linguist: nda
BPE: heko ha | Linguist: heko ha
BPE: sa sa na bu | Linguist: sa sa na bu
BPE: ghak | Linguist: ghak
BPE: mi na | Linguist: mi na
BPE: kaniŋ | Linguist: kaniŋ
BPE: ka i wa niŋa | Linguist: ka i wa niŋa
BPE: eko | Linguist: eko
BPE: ka | Linguist: ka
BPE: i ŋa | Linguist: i ŋa
BPE: ak ka | Linguist: ak ka
BPE: cok ma | Linguist: cok ma
BPE: ka | Linguist: ka
BPE: aniŋ ga | Linguist: aniŋ ga
BPE: ceʔya | Linguist: ceʔya
BPE: kha | Linguist: kha
BPE: ghak | Linguist: ghak
BPE: ka | Linguist: ka
BPE: ka | Linguist: ka
BPE: ta ya | Linguist: ta ya
BPE: so ŋ ci ŋ | Linguist: so ŋ ci ŋ
BPE: mi | Linguist: mi
BPE: ak ka | Linguist: ak ka
BPE: eŋ ga | Linguist: eŋ ga
BPE: eko | Linguist: eko
BPE: eko | Linguist: eko
BPE: na | Linguist: na
BPE: ŋkha | Linguist: ŋkha
BPE: heko na | Linguist: heko na
BPE: ŋkha | Linguist: ŋkha
BPE: ghak | Linguist: ghak
BPE: kaniŋ | Linguist: kaniŋ
BPE: ghak | Linguist: ghak
BPE: kaniŋ | Linguist: kaniŋ
BPE: ka | Linguist: ka
BPE: tum na | Linguist: tum na
BPE: yapmi | Linguist: yapmi
BPE: khaʔla | Linguist: khaʔla
BPE: ni ya ha | Linguist: ni ya ha
BPE: me ya m ha | Linguist: me ya m ha
BPE: ceʔya | Linguist: ceʔya
BPE: to na | Linguist: to na
BPE: phu ha nuŋ | Linguist: phu ha nuŋ
BPE: uŋci ŋa | Linguist: uŋci ŋa
BPE: khi ma ha | Linguist: khi ma ha
BPE: tu ma ha | Linguist: tu ma ha
BPE: ceʔya | Linguist: ceʔya
BPE: eko | Linguist: eko
BPE: na | Linguist: na
BPE: eko | Linguist: eko
BPE: na | Linguist: na
BPE: ŋkha | Linguist: ŋkha
BPE: kha | Linguist: kha
BPE: ghak | Linguist: ghak
BPE: nna | Linguist: nna
BPE: ma na | Linguist: ma na
BPE: ak ka go | Linguist: ak ka go
BPE: ghak | Linguist: ghak
BPE: na go | Linguist: na go
BPE: aniŋ ga le | Linguist: aniŋ ga le
BPE: nhe | Linguist: nhe
BPE: wa ma | Linguist: wa ma
BPE: ci ha | Linguist: ci ha
BPE: haŋ ha | Linguist: haŋ ha
BPE: nna | Linguist: nna
BPE: kha | Linguist: kha
BPE: mi na | Linguist: mi na
BPE: luŋkhwak | Linguist: luŋkhwak
BPE: ka | Linguist: ka
BPE: nda | Linguist: nda
BPE: su ha | Linguist: su ha
BPE: nna | Linguist: nna
BPE: luŋkhwak | Linguist: luŋkhwak
BPE: n leŋ me n | Linguist: n leŋ me n
BPE: nhaŋ go | Linguist: nhaŋ go
BPE: mi na | Linguist: mi na
BPE: leŋ d eʔ na | Linguist: leŋ d eʔ na
BPE: kaniŋ | Linguist: kaniŋ
BPE: heko na | Linguist: heko na
BPE: uŋci be ca | Linguist: uŋci be ca
BPE: heko na | Linguist: heko na
BPE: pyak | Linguist: pyak
BPE: mam ha | Linguist: mam ha
BPE: n sa ba | Linguist: n sa ba
BPE: na | Linguist: na
BPE: nna ca | Linguist: nna ca
BPE: u ma | Linguist: u ma
BPE: sa na i | Linguist: sa na i
BPE: kha go | Linguist: kha go
BPE: eŋ ga | Linguist: eŋ ga
BPE: yapmi | Linguist: yapmi
BPE: ŋkha ci go | Linguist: ŋkha ci go
BPE: heko ha ci ga | Linguist: heko ha ci ga
BPE: ka | Linguist: ka
BPE: tum ŋa na | Linguist: tum ŋa na
BPE: ka | Linguist: ka
BPE: nda | Linguist: nda
BPE: ghak | Linguist: ghak
BPE: tum na | Linguist: tum na
BPE: n leŋ me n | Linguist: n leŋ me n
BPE: li na | Linguist: li na
BPE: na | Linguist: na
BPE: nniŋ ga | Linguist: nniŋ ga
BPE: ka | Linguist: ka
BPE: heko na | Linguist: heko na
BPE: ka | Linguist: ka
BPE: na | Linguist: na
BPE: ka | Linguist: ka
BPE: uŋci ga | Linguist: uŋci ga
BPE: to | Linguist: to
BPE: to na | Linguist: to na
BPE: eko | Linguist: eko
BPE: pi ŋ | Linguist: pi ŋ
BPE: mo na | Linguist: mo na
BPE: me wa m ha bu | Linguist: me wa m ha bu
BPE: yo na | Linguist: yo na
BPE: khaʔla | Linguist: khaʔla
BPE: to na | Linguist: to na
BPE: mo na | Linguist: mo na
BPE: n leŋ me n | Linguist: n leŋ me n
BPE: ka ma | Linguist: ka ma
BPE: mo ha | Linguist: mo ha
BPE: to ha | Linguist: to ha
