BPE: gnaro | Linguist: gnaro
BPE: e | Linguist: e
BPE: ka | Linguist: ka
BPE: ḡlose | Linguist: ḡlose
BPE: neke | Linguist: neke
BPE: kaisei | Linguist: kaisei
BPE: u | Linguist: u
BPE: ka | Linguist: ka
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: mei hi | Linguist: mei hi
BPE: mana | Linguist: mana
BPE: mei u | Linguist: mei u
BPE: mana | Linguist: mana
BPE: na | Linguist: na
BPE: theome | Linguist: theome
BPE: mana | Linguist: mana
BPE: na | Linguist: na
BPE: theome | Linguist: theome
BPE: mae | Linguist: mae
BPE: bi’o | Linguist: bi’o
BPE: mae | Linguist: mae
BPE: mola | Linguist: mola
BPE: na | Linguist: na
BPE: fara | Linguist: fara
BPE: nalha'u | Linguist: nalha'u
BPE: gne | Linguist: gne
BPE: n̄ala | Linguist: n̄ala
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: ka | Linguist: ka
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: gne | Linguist: gne
BPE: pukuni | Linguist: pukuni
BPE: fara | Linguist: fara
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: egu | Linguist: egu
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: mei | Linguist: mei
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: iara | Linguist: iara
BPE: sua | Linguist: sua
BPE: re | Linguist: re
BPE: iara | Linguist: iara
BPE: egu | Linguist: egu
BPE: thonu | Linguist: thonu
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: khera ḡu | Linguist: khera ḡu
BPE: ro | Linguist: ro
BPE: ḡre | Linguist: ḡre
BPE: mare | Linguist: mare
BPE: naikno | Linguist: naikno
BPE: ḡre | Linguist: ḡre
BPE: teuna | Linguist: teuna
BPE: kolho | Linguist: kolho
BPE: ka | Linguist: ka
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: re | Linguist: re
BPE: na | Linguist: na
BPE: nu | Linguist: nu
BPE: keha | Linguist: keha
BPE: naikno | Linguist: naikno
BPE: re | Linguist: re
BPE: theo | Linguist: theo
BPE: kolho | Linguist: kolho
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: nalha'u | Linguist: nalha'u
BPE: re | Linguist: re
BPE: gne | Linguist: gne
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: vike | Linguist: vike
BPE: mae | Linguist: mae
BPE: re | Linguist: re
BPE: naikno | Linguist: naikno
BPE: mae | Linguist: mae
BPE: egu | Linguist: egu
BPE: te | Linguist: te
BPE: keli | Linguist: keli
BPE: na | Linguist: na
BPE: e | Linguist: e
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: are | Linguist: are
BPE: egu | Linguist: egu
BPE: te | Linguist: te
BPE: theo | Linguist: theo
BPE: te | Linguist: te
BPE: me | Linguist: me
BPE: fa karha | Linguist: fa karha
BPE: ka | Linguist: ka
BPE: mae | Linguist: mae
BPE: ne | Linguist: ne
BPE: keli | Linguist: keli
BPE: ne | Linguist: ne
BPE: thau | Linguist: thau
BPE: ne | Linguist: ne
BPE: keli | Linguist: keli
BPE: ne | Linguist: ne
BPE: egu | Linguist: egu
BPE: filo ni | Linguist: filo ni
BPE: n̄a | Linguist: n̄a
BPE: tahati | Linguist: tahati
BPE: kaisei | Linguist: kaisei
BPE: thau | Linguist: thau
BPE: bi’o | Linguist: bi’o
BPE: te | Linguist: te
BPE: nu | Linguist: nu
BPE: tahati | Linguist: tahati
BPE: la | Linguist: la
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: sua | Linguist: sua
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: nalha'u | Linguist: nalha'u
BPE: n̄a | Linguist: n̄a
BPE: iago | Linguist: iago
BPE: nu | Linguist: nu
BPE: iago | Linguist: iago
BPE: theome | Linguist: theome
BPE: teke | Linguist: teke
BPE: ka | Linguist: ka
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: nalha’u | Linguist: nalha’u
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: uḡra | Linguist: uḡra
BPE: au | Linguist: au
BPE: sua | Linguist: sua
BPE: nalha’u | Linguist: nalha’u
BPE: kaisei | Linguist: kaisei
BPE: mae | Linguist: mae
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: u | Linguist: u
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: tei | Linguist: tei
BPE: keha | Linguist: keha
BPE: mae | Linguist: mae
BPE: u | Linguist: u
BPE: puhi | Linguist: puhi
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: gehati | Linguist: gehati
BPE: mae | Linguist: mae
BPE: jare | Linguist: jare
BPE: re | Linguist: re
BPE: keha | Linguist: keha
BPE: mae di | Linguist: mae di
BPE: iago | Linguist: iago
BPE: na | Linguist: na
BPE: e | Linguist: e
BPE: koba | Linguist: koba
BPE: egu | Linguist: egu
BPE: keha | Linguist: keha
BPE: mae mi | Linguist: mae mi
BPE: au | Linguist: au
BPE: thilo | Linguist: thilo
BPE: sua | Linguist: sua
BPE: kaisei | Linguist: kaisei
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: phei | Linguist: phei
BPE: nalha'u | Linguist: nalha'u
BPE: egu | Linguist: egu
BPE: kaisei | Linguist: kaisei
BPE: mae | Linguist: mae
BPE: te | Linguist: te
BPE: jare | Linguist: jare
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: sua | Linguist: sua
BPE: theome | Linguist: theome
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: n̄a | Linguist: n̄a
BPE: re'e | Linguist: re'e
BPE: ido gna | Linguist: ido gna
BPE: u | Linguist: u
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: nalha'u | Linguist: nalha'u
BPE: ḡre | Linguist: ḡre
BPE: me | Linguist: me
BPE: ke | Linguist: ke
BPE: ka | Linguist: ka
BPE: mae | Linguist: mae
BPE: nalha'u | Linguist: nalha'u
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: kokholo | Linguist: kokholo
BPE: gne | Linguist: gne
BPE: au | Linguist: au
BPE: kokholo | Linguist: kokholo
BPE: egu | Linguist: egu
BPE: n̄ala | Linguist: n̄ala
BPE: na | Linguist: na
BPE: neke | Linguist: neke
BPE: iara | Linguist: iara
BPE: neke | Linguist: neke
BPE: au | Linguist: au
BPE: re'e | Linguist: re'e
BPE: na | Linguist: na
BPE: mei | Linguist: mei
BPE: au | Linguist: au
BPE: pukuni | Linguist: pukuni
BPE: gne | Linguist: gne
BPE: gehati | Linguist: gehati
BPE: phei | Linguist: phei
BPE: vike | Linguist: vike
BPE: n̄ala | Linguist: n̄ala
BPE: iara | Linguist: iara
BPE: gne | Linguist: gne
BPE: karha | Linguist: karha
BPE: mei | Linguist: mei
BPE: ka | Linguist: ka
BPE: vike | Linguist: vike
BPE: me | Linguist: me
BPE: iara | Linguist: iara
BPE: me | Linguist: me
BPE: na | Linguist: na
BPE: iara | Linguist: iara
BPE: ka | Linguist: ka
BPE: iago | Linguist: iago
BPE: gotilo | Linguist: gotilo
BPE: mae | Linguist: mae
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: mama | Linguist: mama
BPE: ge | Linguist: ge
BPE: thofno | Linguist: thofno
BPE: fara | Linguist: fara
BPE: teke | Linguist: teke
BPE: riso | Linguist: riso
BPE: ta mi | Linguist: ta mi
BPE: sua | Linguist: sua
BPE: fara | Linguist: fara
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: sua | Linguist: sua
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: ḡa’ase | Linguist: ḡa’ase
BPE: sua | Linguist: sua
BPE: kmana | Linguist: kmana
BPE: fara | Linguist: fara
BPE: kmana | Linguist: kmana
BPE: tahu | Linguist: tahu
BPE: fara | Linguist: fara
BPE: sua | Linguist: sua
BPE: sua | Linguist: sua
BPE: fara | Linguist: fara
BPE: na | Linguist: na
BPE: tifa | Linguist: tifa
BPE: karha | Linguist: karha
BPE: sua | Linguist: sua
BPE: teuna | Linguist: teuna
BPE: iago | Linguist: iago
BPE: kaisei | Linguist: kaisei
BPE: koba | Linguist: koba
BPE: ia | Linguist: ia
BPE: mae | Linguist: mae
BPE: nalha'u | Linguist: nalha'u
BPE: ia | Linguist: ia
BPE: mei | Linguist: mei
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: iara | Linguist: iara
BPE: sua | Linguist: sua
BPE: re | Linguist: re
BPE: thonu | Linguist: thonu
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: si | Linguist: si
BPE: ia | Linguist: ia
BPE: mae | Linguist: mae
BPE: tifa | Linguist: tifa
BPE: re | Linguist: re
BPE: neke | Linguist: neke
BPE: kolho | Linguist: kolho
BPE: the di | Linguist: the di
BPE: ge | Linguist: ge
BPE: re | Linguist: re
BPE: au | Linguist: au
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: thuru | Linguist: thuru
BPE: ba | Linguist: ba
BPE: kheto | Linguist: kheto
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: na | Linguist: na
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: ka | Linguist: ka
BPE: ido gna | Linguist: ido gna
BPE: u | Linguist: u
BPE: ḡa’ase | Linguist: ḡa’ase
BPE: na | Linguist: na
BPE: nei | Linguist: nei
BPE: nalha’u | Linguist: nalha’u
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: ge | Linguist: ge
BPE: mae | Linguist: mae
BPE: na | Linguist: na
BPE: la | Linguist: la
BPE: theo | Linguist: theo
BPE: na | Linguist: na
BPE: te | Linguist: te
BPE: teuna | Linguist: teuna
BPE: kolho | Linguist: kolho
BPE: na | Linguist: na
BPE: ∅ | Linguist: ∅
BPE: ka | Linguist: ka
BPE: suḡa | Linguist: suḡa
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: sua | Linguist: sua
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: tahu | Linguist: tahu
BPE: mae | Linguist: mae
BPE: bi’o | Linguist: bi’o
BPE: fara | Linguist: fara
BPE: fara | Linguist: fara
BPE: kaisei | Linguist: kaisei
BPE: u | Linguist: u
BPE: te | Linguist: te
BPE: tei | Linguist: tei
BPE: u | Linguist: u
BPE: ka | Linguist: ka
BPE: mare | Linguist: mare
BPE: kaisei | Linguist: kaisei
BPE: u | Linguist: u
BPE: ka | Linguist: ka
BPE: gehati | Linguist: gehati
BPE: gne | Linguist: gne
BPE: iara | Linguist: iara
BPE: tei | Linguist: tei
BPE: uḡra | Linguist: uḡra
BPE: sasa | Linguist: sasa
BPE: egu | Linguist: egu
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: ra | Linguist: ra
BPE: tei | Linguist: tei
BPE: uḡra | Linguist: uḡra
BPE: sasa | Linguist: sasa
BPE: ka | Linguist: ka
BPE: ia | Linguist: ia
BPE: egu | Linguist: egu
BPE: ia | Linguist: ia
BPE: iara | Linguist: iara
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: ḡinei | Linguist: ḡinei
BPE: ia | Linguist: ia
BPE: na | Linguist: na
BPE: mei | Linguist: mei
BPE: mei | Linguist: mei
BPE: thuru | Linguist: thuru
BPE: ka | Linguist: ka
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: mei | Linguist: mei
BPE: ka | Linguist: ka
BPE: mala | Linguist: mala
BPE: ka | Linguist: ka
BPE: ke | Linguist: ke
BPE: mae | Linguist: mae
BPE: ke | Linguist: ke
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: raru | Linguist: raru
BPE: neke | Linguist: neke
BPE: phei | Linguist: phei
BPE: ka | Linguist: ka
BPE: mola | Linguist: mola
BPE: na | Linguist: na
BPE: me | Linguist: me
BPE: raru | Linguist: raru
BPE: ka | Linguist: ka
BPE: na | Linguist: na
BPE: teke | Linguist: teke
BPE: ke | Linguist: ke
BPE: gne | Linguist: gne
BPE: te | Linguist: te
BPE: keli | Linguist: keli
BPE: ta ḡu | Linguist: ta ḡu
BPE: na | Linguist: na
BPE: suḡa | Linguist: suḡa
BPE: mala | Linguist: mala
BPE: egu | Linguist: egu
BPE: mei | Linguist: mei
BPE: ka | Linguist: ka
BPE: riso | Linguist: riso
BPE: ka | Linguist: ka
BPE: iago | Linguist: iago
BPE: tei | Linguist: tei
BPE: ka | Linguist: ka
BPE: u | Linguist: u
BPE: narane | Linguist: narane
BPE: neke | Linguist: neke
BPE: filo ni | Linguist: filo ni
BPE: na’a | Linguist: na’a
BPE: ka | Linguist: ka
BPE: tei | Linguist: tei
BPE: uḡra | Linguist: uḡra
BPE: sasa | Linguist: sasa
BPE: ka | Linguist: ka
BPE: ia | Linguist: ia
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: mei | Linguist: mei
BPE: te | Linguist: te
BPE: mana | Linguist: mana
BPE: ka | Linguist: ka
BPE: narane | Linguist: narane
BPE: tuana | Linguist: tuana
BPE: mei | Linguist: mei
BPE: iara | Linguist: iara
BPE: ka | Linguist: ka
BPE: narane | Linguist: narane
BPE: ḡognaro | Linguist: ḡognaro
BPE: gne | Linguist: gne
BPE: tahati | Linguist: tahati
BPE: te | Linguist: te
BPE: u | Linguist: u
BPE: mae | Linguist: mae
BPE: fara | Linguist: fara
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: fara | Linguist: fara
BPE: ka | Linguist: ka
BPE: gotilo | Linguist: gotilo
BPE: au | Linguist: au
BPE: ta di | Linguist: ta di
BPE: ḡlose | Linguist: ḡlose
BPE: ku'e gna | Linguist: ku'e gna
BPE: ido mu | Linguist: ido mu
BPE: gne | Linguist: gne
BPE: si | Linguist: si
BPE: ia | Linguist: ia
