BPE: e | Linguist: e
BPE: u | Linguist: u
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: e | Linguist: e
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: u | Linguist: u
BPE: u | Linguist: u
BPE: na | Linguist: na
BPE: e | Linguist: e
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: u | Linguist: u
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: u | Linguist: u
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: ∅ | Linguist: ∅
BPE: u | Linguist: u
BPE: u | Linguist: u
BPE: u | Linguist: u
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: u | Linguist: u
BPE: u | Linguist: u
BPE: na | Linguist: na
