BPE: e | Linguist: e
BPE: ka | Linguist: ka
BPE: neke | Linguist: neke
BPE: kaisei | Linguist: kaisei
BPE: u | Linguist: u
BPE: ka | Linguist: ka
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: na | Linguist: na
BPE: theome | Linguist: theome
BPE: mana | Linguist: mana
BPE: na | Linguist: na
BPE: theome | Linguist: theome
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: na | Linguist: na
BPE: fara | Linguist: fara
BPE: nalha'u | Linguist: nalha'u
BPE: gne | Linguist: gne
BPE: n̄ala | Linguist: n̄ala
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: ka | Linguist: ka
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: gne | Linguist: gne
BPE: fara | Linguist: fara
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: egu | Linguist: egu
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: mei | Linguist: mei
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: iara | Linguist: iara
BPE: sua | Linguist: sua
BPE: re | Linguist: re
BPE: iara | Linguist: iara
BPE: egu | Linguist: egu
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: khera ḡu | Linguist: khera ḡu
BPE: ro | Linguist: ro
BPE: ḡre | Linguist: ḡre
BPE: mare | Linguist: mare
BPE: naikno | Linguist: naikno
BPE: ḡre | Linguist: ḡre
BPE: teuna | Linguist: teuna
BPE: kolho | Linguist: kolho
BPE: ka | Linguist: ka
BPE: khera gna | Linguist: khera gna
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: re | Linguist: re
BPE: na | Linguist: na
BPE: nu | Linguist: nu
BPE: keha | Linguist: keha
BPE: naikno | Linguist: naikno
BPE: re | Linguist: re
BPE: theo | Linguist: theo
BPE: kolho | Linguist: kolho
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: nalha'u | Linguist: nalha'u
BPE: re | Linguist: re
BPE: gne | Linguist: gne
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: vike | Linguist: vike
BPE: mae | Linguist: mae
BPE: re | Linguist: re
BPE: naikno | Linguist: naikno
BPE: mae | Linguist: mae
BPE: egu | Linguist: egu
BPE: te | Linguist: te
BPE: keli | Linguist: keli
BPE: na | Linguist: na
BPE: e | Linguist: e
BPE: fa ge di | Linguist: fa ge di
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: are | Linguist: are
BPE: egu | Linguist: egu
BPE: te | Linguist: te
BPE: theo | Linguist: theo
BPE: te | Linguist: te
BPE: me | Linguist: me
BPE: ka | Linguist: ka
BPE: mae | Linguist: mae
BPE: ne | Linguist: ne
BPE: keli | Linguist: keli
BPE: ne | Linguist: ne
BPE: thau | Linguist: thau
BPE: ne | Linguist: ne
BPE: keli | Linguist: keli
BPE: ne | Linguist: ne
BPE: egu | Linguist: egu
BPE: n̄a | Linguist: n̄a
BPE: tahati | Linguist: tahati
BPE: kaisei | Linguist: kaisei
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: nu | Linguist: nu
BPE: tahati | Linguist: tahati
BPE: la | Linguist: la
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: sua | Linguist: sua
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: nalha'u | Linguist: nalha'u
BPE: n̄a | Linguist: n̄a
BPE: iago | Linguist: iago
BPE: nu | Linguist: nu
BPE: iago | Linguist: iago
BPE: theome | Linguist: theome
BPE: teke | Linguist: teke
BPE: ka | Linguist: ka
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: nalha’u | Linguist: nalha’u
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: uḡra | Linguist: uḡra
BPE: au | Linguist: au
BPE: sua | Linguist: sua
BPE: nalha’u | Linguist: nalha’u
BPE: kaisei | Linguist: kaisei
BPE: mae | Linguist: mae
BPE: te | Linguist: te
