BPE: bertâg | Linguist: bertâg
BPE: kasãm | Linguist: kasãm
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: câk | Linguist: câk
BPE: yũt | Linguist: yũt
BPE: dâwtee | Linguist: dâwtee
BPE: yũt | Linguist: yũt
BPE: ʔãr | Linguist: ʔãr
BPE: weed | Linguist: weed
BPE: yũt | Linguist: yũt
BPE: yoon | Linguist: yoon
BPE: cem | Linguist: cem
BPE: cem | Linguist: cem
BPE: yũt | Linguist: yũt
BPE: ʔãr | Linguist: ʔãr
BPE: weed | Linguist: weed
BPE: dep | Linguist: dep
BPE: ʔãr | Linguist: ʔãr
BPE: po | Linguist: po
BPE: yũt yũt | Linguist: yũt yũt
BPE: topyõr | Linguist: topyõr
BPE: wap | Linguist: wap
BPE: ʔãr | Linguist: ʔãr
BPE: dâwʔãy | Linguist: dâwʔãy
BPE: dôoʔ | Linguist: dôoʔ
BPE: âg | Linguist: âg
BPE: yũt | Linguist: yũt
BPE: nâx | Linguist: nâx
BPE: tir | Linguist: tir
BPE: wʉʉd | Linguist: wʉʉd
BPE: ʔãr | Linguist: ʔãr
BPE: rãm | Linguist: rãm
BPE: yũt | Linguist: yũt
BPE: nã | Linguist: nã
BPE: ʔãm | Linguist: ʔãm
BPE: dâwtee | Linguist: dâwtee
BPE: weed | Linguist: weed
BPE: yũt | Linguist: yũt
BPE: nã | Linguist: nã
BPE: bʉb | Linguist: bʉb
BPE: rid | Linguist: rid
BPE: weed | Linguist: weed
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: xupwoc | Linguist: xupwoc
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: xupwoc | Linguist: xupwoc
BPE: tir | Linguist: tir
BPE: pis | Linguist: pis
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: peg | Linguist: peg
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: weed | Linguist: weed
BPE: tir | Linguist: tir
BPE: âg | Linguist: âg
BPE: nâx | Linguist: nâx
BPE: tir | Linguist: tir
BPE: nê | Linguist: nê
BPE: yũt | Linguist: yũt
BPE: mãr | Linguist: mãr
BPE: bʉg | Linguist: bʉg
BPE: tir | Linguist: tir
BPE: weed | Linguist: weed
BPE: yũt | Linguist: yũt
BPE: bʉg | Linguist: bʉg
BPE: rid | Linguist: rid
BPE: rãm | Linguist: rãm
BPE: bʉg | Linguist: bʉg
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: tee | Linguist: tee
BPE: yũt | Linguist: yũt
BPE: ʔãr | Linguist: ʔãr
BPE: xâd | Linguist: xâd
BPE: ʔãr | Linguist: ʔãr
BPE: uy | Linguist: uy
BPE: bʉg | Linguist: bʉg
BPE: ʔãr | Linguist: ʔãr
BPE: têen | Linguist: têen
BPE: ʔãr | Linguist: ʔãr
BPE: rãm | Linguist: rãm
