BPE: bertâg | Linguist: bertâg
BPE: kasãm | Linguist: kasãm
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: dâwtee | Linguist: dâwtee
BPE: yũt | Linguist: yũt
BPE: ʔãr | Linguist: ʔãr
BPE: weed | Linguist: weed
BPE: yũt | Linguist: yũt
BPE: cem | Linguist: cem
BPE: cem | Linguist: cem
BPE: yũt | Linguist: yũt
BPE: ʔãr | Linguist: ʔãr
BPE: weed | Linguist: weed
BPE: ʔãr | Linguist: ʔãr
BPE: po | Linguist: po
BPE: yũt yũt | Linguist: yũt yũt
BPE: wap | Linguist: wap
BPE: ʔãr | Linguist: ʔãr
BPE: dôoʔ | Linguist: dôoʔ
BPE: âg | Linguist: âg
BPE: yũt | Linguist: yũt
BPE: nâx | Linguist: nâx
BPE: tir | Linguist: tir
BPE: wʉʉd | Linguist: wʉʉd
BPE: ʔãr | Linguist: ʔãr
BPE: rãm | Linguist: rãm
BPE: yũt | Linguist: yũt
BPE: nã | Linguist: nã
BPE: dâwtee | Linguist: dâwtee
BPE: weed | Linguist: weed
BPE: yũt | Linguist: yũt
BPE: nã | Linguist: nã
BPE: bʉb | Linguist: bʉb
BPE: rid | Linguist: rid
BPE: weed | Linguist: weed
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: tir | Linguist: tir
BPE: pis | Linguist: pis
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: weed | Linguist: weed
BPE: tir | Linguist: tir
BPE: âg | Linguist: âg
BPE: nâx | Linguist: nâx
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: bʉg | Linguist: bʉg
BPE: tir | Linguist: tir
BPE: weed | Linguist: weed
BPE: yũt | Linguist: yũt
BPE: bʉg | Linguist: bʉg
BPE: rid | Linguist: rid
BPE: rãm | Linguist: rãm
BPE: bʉg | Linguist: bʉg
BPE: tir | Linguist: tir
BPE: yũt | Linguist: yũt
BPE: tir | Linguist: tir
BPE: tee | Linguist: tee
BPE: yũt | Linguist: yũt
BPE: ʔãr | Linguist: ʔãr
BPE: xâd | Linguist: xâd
BPE: ʔãr | Linguist: ʔãr
BPE: bʉg | Linguist: bʉg
BPE: ʔãr | Linguist: ʔãr
BPE: ʔãr | Linguist: ʔãr
BPE: rãm | Linguist: rãm
BPE: tir | Linguist: tir
BPE: ãr | Linguist: ãr
BPE: wây | Linguist: wây
BPE: rãm | Linguist: rãm
BPE: ʔãr | Linguist: ʔãr
BPE: weed | Linguist: weed
BPE: ʔãr | Linguist: ʔãr
BPE: weed | Linguist: weed
BPE: ʔãr | Linguist: ʔãr
BPE: weed | Linguist: weed
BPE: rid | Linguist: rid
BPE: wap | Linguist: wap
BPE: yok | Linguist: yok
BPE: rid | Linguist: rid
