BPE: aj | Linguist: aj
BPE: jũ | Linguist: jũ
BPE: kwini | Linguist: kwini
BPE: kani | Linguist: kani
BPE: pja | Linguist: pja
BPE: ojo | Linguist: ojo
BPE: papa | Linguist: papa
BPE: ña | Linguist: ña
BPE: pja | Linguist: pja
BPE: ojo | Linguist: ojo
BPE: papa | Linguist: papa
BPE: jũ | Linguist: jũ
BPE: pja | Linguist: pja
BPE: ña | Linguist: ña
BPE: pja | Linguist: pja
BPE: ña | Linguist: ña
BPE: tyj | Linguist: tyj
BPE: ña | Linguist: ña
BPE: ña | Linguist: ña
BPE: ña | Linguist: ña
BPE: i a | Linguist: i a
BPE: pja | Linguist: pja
BPE: tyj | Linguist: tyj
BPE: ña | Linguist: ña
BPE: ña | Linguist: ña
BPE: kani | Linguist: kani
BPE: ña | Linguist: ña
BPE: e | Linguist: e
BPE: ojo | Linguist: ojo
BPE: ña | Linguist: ña
BPE: ojo | Linguist: ojo
BPE: mo ø kỹj | Linguist: mo ø kỹj
BPE: jũ | Linguist: jũ
BPE: kani | Linguist: kani
BPE: ævo | Linguist: ævo
BPE: jũ | Linguist: jũ
BPE: kani | Linguist: kani
BPE: jũ | Linguist: jũ
BPE: jũ | Linguist: jũ
BPE: jũ | Linguist: jũ
BPE: ævo | Linguist: ævo
BPE: kani | Linguist: kani
BPE: jũ | Linguist: jũ
BPE: e | Linguist: e
BPE: kani | Linguist: kani
BPE: ajte | Linguist: ajte
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: jũ | Linguist: jũ
BPE: e | Linguist: e
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: aj | Linguist: aj
BPE: mo õ kỹj | Linguist: mo õ kỹj
BPE: ña | Linguist: ña
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: mi | Linguist: mi
BPE: ere | Linguist: ere
BPE: ævo | Linguist: ævo
BPE: ã kỹj | Linguist: ã kỹj
BPE: nake | Linguist: nake
BPE: oj | Linguist: oj
BPE: ã kỹj | Linguist: ã kỹj
BPE: aj | Linguist: aj
BPE: ajte | Linguist: ajte
BPE: mi | Linguist: mi
BPE: oj | Linguist: oj
BPE: aj | Linguist: aj
BPE: ajte | Linguist: ajte
BPE: mi | Linguist: mi
BPE: oj | Linguist: oj
BPE: aj | Linguist: aj
BPE: ja | Linguist: ja
BPE: ajte | Linguist: ajte
BPE: ja | Linguist: ja
BPE: mi | Linguist: mi
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: oj | Linguist: oj
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: ña | Linguist: ña
BPE: i kỹj | Linguist: i kỹj
BPE: pja | Linguist: pja
BPE: ojo | Linguist: ojo
BPE: papa | Linguist: papa
BPE: tũ o | Linguist: tũ o
BPE: pja | Linguist: pja
BPE: pja | Linguist: pja
BPE: tyj | Linguist: tyj
BPE: pja | Linguist: pja
BPE: ña | Linguist: ña
BPE: ojo | Linguist: ojo
BPE: pja | Linguist: pja
BPE: tyj | Linguist: tyj
BPE: ña | Linguist: ña
BPE: ojo | Linguist: ojo
BPE: tyj | Linguist: tyj
BPE: jũ | Linguist: jũ
BPE: ævo | Linguist: ævo
BPE: ævo | Linguist: ævo
BPE: mi | Linguist: mi
BPE: e | Linguist: e
BPE: oj | Linguist: oj
BPE: tũ o | Linguist: tũ o
BPE: oj | Linguist: oj
BPE: pja | Linguist: pja
BPE: kani | Linguist: kani
BPE: oj | Linguist: oj
BPE: ni tsi | Linguist: ni tsi
BPE: ja ø kỹj | Linguist: ja ø kỹj
BPE: pja | Linguist: pja
BPE: ja | Linguist: ja
BPE: ni tsi | Linguist: ni tsi
BPE: pja | Linguist: pja
BPE: oj | Linguist: oj
BPE: jũ | Linguist: jũ
BPE: kani | Linguist: kani
BPE: pja | Linguist: pja
BPE: ævo | Linguist: ævo
BPE: re | Linguist: re
BPE: ni tsi | Linguist: ni tsi
BPE: mi | Linguist: mi
BPE: jũ | Linguist: jũ
BPE: jũ | Linguist: jũ
BPE: jũ | Linguist: jũ
BPE: pja | Linguist: pja
BPE: kani | Linguist: kani
BPE: mi | Linguist: mi
BPE: pja | Linguist: pja
BPE: papa | Linguist: papa
BPE: re | Linguist: re
BPE: ña | Linguist: ña
