BPE: ṯrōh | Linguist: ṯrōh
BPE: ṯɛ̄rṯī | Linguist: ṯɛ̄rṯī
BPE: attā | Linguist: attā
BPE: mɛlī | Linguist: mɛlī
BPE: ṯrōh | Linguist: ṯrōh
BPE: heh | Linguist: heh
BPE: aʕḳar | Linguist: aʕḳar
BPE: hoh | Linguist: hoh
BPE: w | Linguist: w
BPE: xalifa | Linguist: xalifa
BPE: ənḥa | Linguist: ənḥa
BPE: mən | Linguist: mən
BPE: ḳəblēt | Linguist: ḳəblēt
BPE: ṭād | Linguist: ṭād
BPE: hēt | Linguist: hēt
BPE: w | Linguist: w
BPE: hēt | Linguist: hēt
BPE: axayr | Linguist: axayr
BPE: ṯrɛh | Linguist: ṯrɛh
BPE: ‘heh | Linguist: ‘heh
BPE: aʕḳar | Linguist: aʕḳar
BPE: hoh | Linguist: hoh
BPE: aʕḳar | Linguist: aʕḳar
BPE: ah | Linguist: ah
BPE: hēt | Linguist: hēt
BPE: mən | Linguist: mən
BPE: mən | Linguist: mən
BPE: hinī | Linguist: hinī
BPE: hān | Linguist: hān
BPE: mən | Linguist: mən
BPE: hān | Linguist: hān
BPE: gɛ̄həməh | Linguist: gɛ̄həməh
BPE: ð̣ufār | Linguist: ð̣ufār
BPE: lā | Linguist: lā
BPE: bərk | Linguist: bərk
BPE: elḥōr | Linguist: elḥōr
BPE: ġayām | Linguist: ġayām
BPE: śālā | Linguist: śālā
BPE: səkān | Linguist: səkān
BPE: heh | Linguist: heh
BPE: ʕāśər | Linguist: ʕāśər
BPE: sənī | Linguist: sənī
BPE: ber | Linguist: ber
BPE: səkān | Linguist: səkān
BPE: ʕāśər | Linguist: ʕāśər
BPE: sənī | Linguist: sənī
BPE: mən | Linguist: mən
BPE: ġaleḳ | Linguist: ġaleḳ
BPE: hɛ̄nəh | Linguist: hɛ̄nəh
BPE: hēt | Linguist: hēt
BPE: ʕaṣār | Linguist: ʕaṣār
BPE: men | Linguist: men
BPE: ḥaderəh | Linguist: ḥaderəh
BPE: ham | Linguist: ham
BPE: ham | Linguist: ham
BPE: ḥām | Linguist: ḥām
BPE: mūh | Linguist: mūh
BPE: baʕdēn | Linguist: baʕdēn
BPE: ṭōb | Linguist: ṭōb
BPE: ʕabū | Linguist: ʕabū
BPE: bərk | Linguist: bərk
BPE: wādī | Linguist: wādī
BPE: fərśīt | Linguist: fərśīt
BPE: raḥmāt | Linguist: raḥmāt
BPE: ð̣ar | Linguist: ð̣ar
BPE: w | Linguist: w
BPE: mən | Linguist: mən
BPE: ð̣ar | Linguist: ð̣ar
BPE: w | Linguist: w
BPE: mən | Linguist: mən
BPE: mòġli | Linguist: mòġli
BPE: ḥāwwəl | Linguist: ḥāwwəl
BPE: w | Linguist: w
BPE: məġārəh | Linguist: məġārəh
BPE: hoh | Linguist: hoh
BPE: nāṣərəh | Linguist: nāṣərəh
BPE: wtō | Linguist: wtō
BPE: nḥā | Linguist: nḥā
BPE: w | Linguist: w
BPE: kəl | Linguist: kəl
BPE: ʕamr | Linguist: ʕamr
BPE: hoh | Linguist: hoh
BPE: līrekātəh | Linguist: līrekātəh
BPE: marṣ́ɛf | Linguist: marṣ́ɛf
BPE: ṯrɛ̄hi | Linguist: ṯrɛ̄hi
BPE: ʕan | Linguist: ʕan
BPE: ṭād | Linguist: ṭād
BPE: kəl | Linguist: kəl
BPE: ṯrɛ̄hi | Linguist: ṯrɛ̄hi
BPE: məkān | Linguist: məkān
BPE: kəm | Linguist: kəm
BPE: ayām | Linguist: ayām
BPE: bawməh | Linguist: bawməh
BPE: mən | Linguist: mən
BPE: məkān | Linguist: məkān
BPE: tā | Linguist: tā
BPE: məkān | Linguist: məkān
BPE: mākən | Linguist: mākən
BPE: bərk | Linguist: bərk
BPE: bɛr | Linguist: bɛr
BPE: wula | Linguist: wula
BPE: ber | Linguist: ber
BPE: ʕābū | Linguist: ʕābū
BPE: w | Linguist: w
BPE: itēw | Linguist: itēw
BPE: šī | Linguist: šī
BPE: ʕārān | Linguist: ʕārān
BPE: ḥawēl | Linguist: ḥawēl
BPE: šī | Linguist: šī
BPE: ʕābū | Linguist: ʕābū
BPE: māken | Linguist: māken
BPE: ḥawēl | Linguist: ḥawēl
BPE: śālā | Linguist: śālā
BPE: doktūr | Linguist: doktūr
BPE: nāṣərəh | Linguist: nāṣərəh
BPE: šī | Linguist: šī
BPE: śālā | Linguist: śālā
BPE: el | Linguist: el
BPE: heh | Linguist: heh
BPE: śūri | Linguist: śūri
BPE: la | Linguist: la
BPE: delīl | Linguist: delīl
