BPE: r awe | Linguist: r awe
BPE: r atʃĩ | Linguist: r atʃĩ
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: retemeʔe | Linguist: retemeʔe
BPE: he | Linguist: he
BPE: ∅ ʔa | Linguist: ∅ ʔa
BPE: ku | Linguist: ku
BPE: pẽ | Linguist: pẽ
BPE: aʔy | Linguist: aʔy
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: ku | Linguist: ku
BPE: ne | Linguist: ne
BPE: pa | Linguist: pa
BPE: he | Linguist: he
BPE: ∅ hi | Linguist: ∅ hi
BPE: meʔe | Linguist: meʔe
BPE: pu | Linguist: pu
BPE: ku | Linguist: ku
BPE: ne | Linguist: ne
BPE: pa | Linguist: pa
BPE: ne | Linguist: ne
BPE: reʔe | Linguist: reʔe
BPE: he | Linguist: he
BPE: meʔe | Linguist: meʔe
BPE: pa | Linguist: pa
BPE: rupe | Linguist: rupe
BPE: meʔe | Linguist: meʔe
BPE: pa | Linguist: pa
BPE: he | Linguist: he
BPE: ja | Linguist: ja
BPE: we | Linguist: we
BPE: ja | Linguist: ja
BPE: we | Linguist: we
BPE: he | Linguist: he
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: ure | Linguist: ure
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: dydy | Linguist: dydy
BPE: ure | Linguist: ure
BPE: aʔy | Linguist: aʔy
BPE: he | Linguist: he
BPE: ku | Linguist: ku
BPE: pẽ | Linguist: pẽ
BPE: ∅ a iwe | Linguist: ∅ a iwe
BPE: ku | Linguist: ku
BPE: ha | Linguist: ha
BPE: uru ha | Linguist: uru ha
BPE: myde | Linguist: myde
BPE: ku | Linguist: ku
BPE: ja | Linguist: ja
BPE: pe | Linguist: pe
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: ku | Linguist: ku
