BPE: mũmũ | Linguist: mũmũ
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: tajahu | Linguist: tajahu
BPE: pawẽ | Linguist: pawẽ
BPE: retemeʔe | Linguist: retemeʔe
BPE: awitʃi | Linguist: awitʃi
BPE: he | Linguist: he
BPE: ku | Linguist: ku
BPE: pẽ | Linguist: pẽ
BPE: tapyʔy | Linguist: tapyʔy
BPE: aʔy | Linguist: aʔy
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: jaty | Linguist: jaty
BPE: ku | Linguist: ku
BPE: ne | Linguist: ne
BPE: arapuha | Linguist: arapuha
BPE: neʔe | Linguist: neʔe
BPE: awa | Linguist: awa
BPE: pa | Linguist: pa
BPE: he | Linguist: he
BPE: meʔe | Linguist: meʔe
BPE: pu | Linguist: pu
BPE: ku | Linguist: ku
BPE: ne | Linguist: ne
BPE: arapuha | Linguist: arapuha
BPE: mari | Linguist: mari
BPE: pa | Linguist: pa
BPE: ne | Linguist: ne
BPE: reʔe | Linguist: reʔe
BPE: he | Linguist: he
BPE: meʔe | Linguist: meʔe
BPE: pa | Linguist: pa
BPE: rupe | Linguist: rupe
BPE: meʔe | Linguist: meʔe
BPE: pa | Linguist: pa
BPE: he | Linguist: he
BPE: jati | Linguist: jati
BPE: ja | Linguist: ja
BPE: we | Linguist: we
BPE: tajahu | Linguist: tajahu
BPE: mytũ | Linguist: mytũ
BPE: ja | Linguist: ja
BPE: we | Linguist: we
BPE: arapuha | Linguist: arapuha
BPE: hetĩ | Linguist: hetĩ
BPE: he | Linguist: he
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: ehe | Linguist: ehe
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: ure | Linguist: ure
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: dydy | Linguist: dydy
BPE: ure | Linguist: ure
BPE: aʔy | Linguist: aʔy
BPE: he | Linguist: he
BPE: ku | Linguist: ku
BPE: araraỹ | Linguist: araraỹ
BPE: pẽ | Linguist: pẽ
BPE: jaty | Linguist: jaty
BPE: ku | Linguist: ku
BPE: ha | Linguist: ha
BPE: myde | Linguist: myde
BPE: ku | Linguist: ku
BPE: ja | Linguist: ja
BPE: pe | Linguist: pe
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: ku | Linguist: ku
BPE: ne | Linguist: ne
BPE: pe | Linguist: pe
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: kumete | Linguist: kumete
BPE: ku | Linguist: ku
BPE: ne | Linguist: ne
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: pitumuʔe | Linguist: pitumuʔe
BPE: he | Linguist: he
BPE: haʔywe | Linguist: haʔywe
BPE: pe | Linguist: pe
BPE: deme | Linguist: deme
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: tapyʔy | Linguist: tapyʔy
BPE: ure | Linguist: ure
BPE: ne | Linguist: ne
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: ne | Linguist: ne
BPE: apa | Linguist: apa
BPE: ure | Linguist: ure
BPE: ju | Linguist: ju
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: pe | Linguist: pe
BPE: ne | Linguist: ne
BPE: ku | Linguist: ku
BPE: mytu | Linguist: mytu
BPE: ure | Linguist: ure
BPE: he | Linguist: he
BPE: ne | Linguist: ne
BPE: jepe | Linguist: jepe
BPE: pe | Linguist: pe
BPE: he | Linguist: he
BPE: deme | Linguist: deme
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: tapyʔy | Linguist: tapyʔy
BPE: rupe | Linguist: rupe
BPE: eʔe | Linguist: eʔe
BPE: ku | Linguist: ku
BPE: a | Linguist: a
BPE: ruwĩ | Linguist: ruwĩ
BPE: tuʔĩ | Linguist: tuʔĩ
BPE: apa | Linguist: apa
BPE: pa | Linguist: pa
BPE: ruwĩ | Linguist: ruwĩ
BPE: amute | Linguist: amute
BPE: te | Linguist: te
BPE: ara | Linguist: ara
BPE: awa | Linguist: awa
BPE: pa | Linguist: pa
BPE: rupe | Linguist: rupe
BPE: ku | Linguist: ku
BPE: madetʃaka | Linguist: madetʃaka
BPE: hete | Linguist: hete
BPE: pane | Linguist: pane
BPE: ku | Linguist: ku
BPE: reʔe | Linguist: reʔe
BPE: ku | Linguist: ku
BPE: ne | Linguist: ne
BPE: kumeʔe | Linguist: kumeʔe
BPE: ku | Linguist: ku
BPE: pe | Linguist: pe
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: pyda | Linguist: pyda
BPE: ne | Linguist: ne
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: ku | Linguist: ku
BPE: jeʔẽ | Linguist: jeʔẽ
BPE: ure | Linguist: ure
BPE: ku | Linguist: ku
BPE: pe | Linguist: pe
BPE: tena | Linguist: tena
BPE: myde | Linguist: myde
BPE: je | Linguist: je
BPE: mukũĵ | Linguist: mukũĵ
BPE: nete | Linguist: nete
BPE: tʃipẽ | Linguist: tʃipẽ
BPE: je | Linguist: je
BPE: he | Linguist: he
BPE: pawẽ | Linguist: pawẽ
BPE: aʔy | Linguist: aʔy
BPE: ipiʔũ | Linguist: ipiʔũ
BPE: pawẽ | Linguist: pawẽ
BPE: retemeʔe | Linguist: retemeʔe
BPE: ku | Linguist: ku
BPE: madyʔa | Linguist: madyʔa
BPE: pawẽ | Linguist: pawẽ
BPE: marakaja | Linguist: marakaja
BPE: hetĩ | Linguist: hetĩ
BPE: nani | Linguist: nani
BPE: kumete | Linguist: kumete
BPE: ku | Linguist: ku
BPE: mututapi | Linguist: mututapi
BPE: deme | Linguist: deme
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: tapyʔy | Linguist: tapyʔy
BPE: haʔywe | Linguist: haʔywe
BPE: ne | Linguist: ne
BPE: jepe | Linguist: jepe
BPE: he | Linguist: he
