BPE: kartoška | Linguist: kartoška
BPE: zor | Linguist: zor
BPE: uže | Linguist: uže
BPE: išet’lo | Linguist: išet’lo
BPE: hos | Linguist: hos
BPE: bušne | Linguist: bušne
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: ɣine | Linguist: ɣine
BPE: iló | Linguist: iló
BPE: toxtur | Linguist: toxtur
BPE: užá | Linguist: užá
BPE: lak | Linguist: lak
BPE: de | Linguist: de
BPE: k’ant’a | Linguist: k’ant’a
BPE: hobože | Linguist: hobože
BPE: izzuqo | Linguist: izzuqo
BPE: židułi | Linguist: židułi
BPE: heč’č’e | Linguist: heč’č’e
BPE: hunar | Linguist: hunar
BPE: gollu | Linguist: gollu
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: qˤʷelʲ | Linguist: qˤʷelʲ
BPE: box | Linguist: box
BPE: ise | Linguist: ise
BPE: užá | Linguist: užá
BPE: xexiłin | Linguist: xexiłin
BPE: idu | Linguist: idu
BPE: yašk’a | Linguist: yašk’a
BPE: lɨdo | Linguist: lɨdo
BPE: žik’o | Linguist: žik’o
BPE: hada | Linguist: hada
BPE: eⁿs | Linguist: eⁿs
BPE: hos | Linguist: hos
BPE: heč’č’e | Linguist: heč’č’e
BPE: tubi | Linguist: tubi
BPE: ɨs | Linguist: ɨs
BPE: ise | Linguist: ise
BPE: t’uqˤ | Linguist: t’uqˤ
BPE: iłe | Linguist: iłe
BPE: muše | Linguist: muše
BPE: gollo | Linguist: gollo
BPE: idu | Linguist: idu
BPE: yuq’ˤuč’e | Linguist: yuq’ˤuč’e
BPE: q’ˤʷanaɣaužaz | Linguist: q’ˤʷanaɣaužaz
BPE: ut’ana | Linguist: ut’ana
BPE: kaɣataʎ’a | Linguist: kaɣataʎ’a
BPE: kˤabˤa | Linguist: kˤabˤa
BPE: xat’ | Linguist: xat’
BPE: hada | Linguist: hada
BPE: de | Linguist: de
BPE: ɣudul | Linguist: ɣudul
BPE: hada | Linguist: hada
BPE: de | Linguist: de
BPE: ɣudul | Linguist: ɣudul
BPE: hobonezi | Linguist: hobonezi
BPE: žu | Linguist: žu
BPE: eⁿłala | Linguist: eⁿłala
BPE: dilʲlʲo | Linguist: dilʲlʲo
BPE: hos | Linguist: hos
BPE: himon | Linguist: himon
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: os | Linguist: os
BPE: ono | Linguist: ono
BPE: heⁿhe | Linguist: heⁿhe
BPE: pulemetčik | Linguist: pulemetčik
BPE: ručnoy | Linguist: ručnoy
BPE: ʎʷade | Linguist: ʎʷade
BPE: goli | Linguist: goli
BPE: ʎ’olo | Linguist: ʎ’olo
BPE: ɣʷade | Linguist: ɣʷade
BPE: goli | Linguist: goli
BPE: co | Linguist: co
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: ɣine | Linguist: ɣine
BPE: c’aq’ | Linguist: c’aq’
BPE: isuʎ’o | Linguist: isuʎ’o
BPE: kandɨl | Linguist: kandɨl
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: iso | Linguist: iso
BPE: xuy | Linguist: xuy
BPE: ɣiná | Linguist: ɣiná
BPE: lac’alas | Linguist: lac’alas
BPE: podnos | Linguist: podnos
BPE: karavatɨʎ | Linguist: karavatɨʎ
BPE: gɨł | Linguist: gɨł
BPE: nartaw | Linguist: nartaw
BPE: hobołe | Linguist: hobołe
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: obu | Linguist: obu
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: łiłuk’a | Linguist: łiłuk’a
BPE: ze | Linguist: ze
BPE: gollo | Linguist: gollo
BPE: q’ˤem | Linguist: q’ˤem
BPE: ʎɨn | Linguist: ʎɨn
BPE: gił | Linguist: gił
BPE: eⁿš | Linguist: eⁿš
BPE: ilʲó | Linguist: ilʲó
BPE: łino | Linguist: łino
BPE: žik’o | Linguist: žik’o
BPE: hobode | Linguist: hobode
BPE: hobot’un | Linguist: hobot’un
BPE: homonu | Linguist: homonu
BPE: do | Linguist: do
BPE: aʎał | Linguist: aʎał
BPE: goli | Linguist: goli
BPE: iłes | Linguist: iłes
BPE: aq | Linguist: aq
BPE: t’it’ihú | Linguist: t’it’ihú
BPE: eⁿču | Linguist: eⁿču
BPE: hadal | Linguist: hadal
BPE: gollu | Linguist: gollu
BPE: q’ˤbinequn | Linguist: q’ˤbinequn
BPE: q’ˤbinequn | Linguist: q’ˤbinequn
BPE: uže | Linguist: uže
BPE: ~olaʎa | Linguist: ~olaʎa
BPE: ʎun | Linguist: ʎun
BPE: isuho | Linguist: isuho
BPE: abaxar | Linguist: abaxar
BPE: iłeɣol | Linguist: iłeɣol
BPE: madaul | Linguist: madaul
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: ʎɨn | Linguist: ʎɨn
BPE: isuɣo | Linguist: isuɣo
BPE: puho | Linguist: puho
BPE: ono | Linguist: ono
BPE: hobołe | Linguist: hobołe
BPE: qoʎu | Linguist: qoʎu
BPE: qoʎu | Linguist: qoʎu
BPE: boc’o | Linguist: boc’o
BPE: łiłuk’a | Linguist: łiłuk’a
BPE: kad | Linguist: kad
BPE: hada | Linguist: hada
BPE: me | Linguist: me
BPE: dubo | Linguist: dubo
BPE: heč’č’e | Linguist: heč’č’e
BPE: liʎ | Linguist: liʎ
BPE: goli | Linguist: goli
BPE: boc’i | Linguist: boc’i
BPE: c’aq’ | Linguist: c’aq’
BPE: idu | Linguist: idu
BPE: žik’o | Linguist: žik’o
BPE: os | Linguist: os
BPE: goli | Linguist: goli
BPE: os | Linguist: os
BPE: goli | Linguist: goli
BPE: t’u | Linguist: t’u
BPE: hed | Linguist: hed
BPE: ɣudul | Linguist: ɣudul
BPE: užaqa | Linguist: užaqa
BPE: hobože | Linguist: hobože
BPE: de | Linguist: de
BPE: ise | Linguist: ise
BPE: gobi | Linguist: gobi
BPE: diqo | Linguist: diqo
BPE: idu | Linguist: idu
BPE: diqo | Linguist: diqo
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: dublo | Linguist: dublo
BPE: eⁿq’ˤo | Linguist: eⁿq’ˤo
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: łiłuk’á | Linguist: łiłuk’á
BPE: kode | Linguist: kode
BPE: ise | Linguist: ise
BPE: q’udu | Linguist: q’udu
BPE: boc’o | Linguist: boc’o
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: hobože | Linguist: hobože
BPE: isul | Linguist: isul
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: do | Linguist: do
BPE: mižul | Linguist: mižul
BPE: žibžibis | Linguist: žibžibis
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: ʎɨn | Linguist: ʎɨn
BPE: uže | Linguist: uže
BPE: kad | Linguist: kad
BPE: zabaykalskiy | Linguist: zabaykalskiy
BPE: huⁿne | Linguist: huⁿne
BPE: goli | Linguist: goli
BPE: ono | Linguist: ono
BPE: hos | Linguist: hos
BPE: ħažiyaw | Linguist: ħažiyaw
BPE: iseiso | Linguist: iseiso
BPE: aⁿka | Linguist: aⁿka
BPE: mˤgɣul | Linguist: mˤgɣul
BPE: qˤe | Linguist: qˤe
BPE: iso | Linguist: iso
BPE: welesiped | Linguist: welesiped
BPE: diɣol | Linguist: diɣol
BPE: hos | Linguist: hos
BPE: ʎɨn | Linguist: ʎɨn
BPE: atɣul | Linguist: atɣul
BPE: žu | Linguist: žu
BPE: ɣon | Linguist: ɣon
BPE: ílʲo | Linguist: ílʲo
BPE: dilʲlʲo | Linguist: dilʲlʲo
BPE: hˤamˤaɣˤé | Linguist: hˤamˤaɣˤé
BPE: aumru | Linguist: aumru
BPE: žu | Linguist: žu
BPE: ɨʎ’o | Linguist: ɨʎ’o
BPE: ílʲo | Linguist: ílʲo
BPE: žu | Linguist: žu
BPE: q’ala | Linguist: q’ala
BPE: žik’o | Linguist: žik’o
BPE: bogožes | Linguist: bogožes
BPE: dilʲ | Linguist: dilʲ
BPE: k’oʎožes | Linguist: k’oʎožes
BPE: mok’o | Linguist: mok’o
BPE: dilʲ | Linguist: dilʲ
BPE: mok’o | Linguist: mok’o
BPE: geq | Linguist: geq
BPE: dilʲ | Linguist: dilʲ
BPE: geq | Linguist: geq
BPE: diyo | Linguist: diyo
BPE: uže | Linguist: uže
BPE: goli | Linguist: goli
BPE: obu | Linguist: obu
BPE: kad | Linguist: kad
BPE: zihe | Linguist: zihe
BPE: lože | Linguist: lože
BPE: ʎib | Linguist: ʎib
BPE: žu | Linguist: žu
BPE: gobi | Linguist: gobi
BPE: žu | Linguist: žu
BPE: razi | Linguist: razi
BPE: goli | Linguist: goli
BPE: eⁿdu | Linguist: eⁿdu
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: soyro | Linguist: soyro
BPE: goli | Linguist: goli
BPE: bataxu | Linguist: bataxu
BPE: bataxu | Linguist: bataxu
BPE: hibo | Linguist: hibo
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: heč’č’e | Linguist: heč’č’e
BPE: goli | Linguist: goli
