BPE: uže | Linguist: uže
BPE: hos | Linguist: hos
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: užá | Linguist: užá
BPE: de | Linguist: de
BPE: isx in | Linguist: isx in
BPE: hobože | Linguist: hobože
BPE: gollu | Linguist: gollu
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: užá | Linguist: užá
BPE: idu | Linguist: idu
BPE: žik’o | Linguist: žik’o
BPE: hos | Linguist: hos
BPE: obu t’ ɨs | Linguist: obu t’ ɨs
BPE: obu t’ ɨs | Linguist: obu t’ ɨs
BPE: ɨs | Linguist: ɨs
BPE: ise | Linguist: ise
BPE: iłe | Linguist: iłe
BPE: idu | Linguist: idu
BPE: c’alid a | Linguist: c’alid a
BPE: de | Linguist: de
BPE: de | Linguist: de
BPE: žu | Linguist: žu
BPE: hos | Linguist: hos
BPE: himon | Linguist: himon
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: do n | Linguist: do n
BPE: di lʲ in | Linguist: di lʲ in
BPE: os | Linguist: os
BPE: ono | Linguist: ono
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: uža ʎ’a | Linguist: uža ʎ’a
BPE: iʎ o | Linguist: iʎ o
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: iso | Linguist: iso
BPE: ɣono ʎ | Linguist: ɣono ʎ
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: obu | Linguist: obu
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: ʎɨn | Linguist: ʎɨn
BPE: žik’o | Linguist: žik’o
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: iłes | Linguist: iłes
BPE: iłe lo | Linguist: iłe lo
BPE: gollu | Linguist: gollu
BPE: uže | Linguist: uže
BPE: ʎun | Linguist: ʎun
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: ʎɨn | Linguist: ʎɨn
BPE: ono | Linguist: ono
BPE: kad | Linguist: kad
BPE: me | Linguist: me
BPE: di qo | Linguist: di qo
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: žik’o | Linguist: žik’o
BPE: os | Linguist: os
BPE: goli | Linguist: goli
BPE: os | Linguist: os
BPE: goli | Linguist: goli
BPE: hed | Linguist: hed
BPE: hobože | Linguist: hobože
BPE: de | Linguist: de
BPE: ise | Linguist: ise
BPE: gobi | Linguist: gobi
BPE: idu | Linguist: idu
BPE: l eq bi | Linguist: l eq bi
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: obu t’ ɣo ul | Linguist: obu t’ ɣo ul
BPE: hobože | Linguist: hobože
BPE: isul | Linguist: isul
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: do | Linguist: do
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: iʎ o | Linguist: iʎ o
BPE: ʎɨn | Linguist: ʎɨn
BPE: uže | Linguist: uže
BPE: kad | Linguist: kad
